Occurrence_Time,Frequency
18:24:00,1
18:25:00,33
18:28:00,1
18:30:00,274
18:31:00,1
18:33:00,1
18:35:00,31
18:36:00,1
18:37:00,3
18:38:00,2
18:40:00,34
18:41:00,1
18:44:00,5
18:45:00,86
18:46:00,1
18:47:00,1
18:48:00,1
18:50:00,33
18:51:00,1
18:52:00,1
18:55:00,16
18:57:00,1
18:58:00,1
18:59:00,1
19:00:00,570
19:02:00,1
19:03:00,3
19:04:00,2
19:05:00,19
19:06:00,5
19:07:00,1
19:08:00,2
19:09:00,3
19:10:00,34
19:12:00,1
19:13:00,1
19:14:00,1
19:15:00,57
19:16:00,1
19:17:00,1
19:18:00,3
19:19:00,1
19:20:00,37
19:21:00,2
19:22:00,1
19:24:00,1
19:25:00,21
19:26:00,2
19:27:00,3
19:29:00,10
19:30:00,237
19:33:00,2
19:34:00,2
19:35:00,26
19:37:00,3
19:38:00,2
19:39:00,1
19:40:00,25
19:42:00,2
19:43:00,1
19:45:00,65
19:46:00,4
19:47:00,1
19:49:00,1
19:50:00,26
19:51:00,2
19:53:00,5
19:54:00,1
19:55:00,23
19:57:00,3
19:58:00,3
20:00:00,576
20:02:00,1
20:03:00,3
20:05:00,30
20:06:00,1
20:08:00,2
20:09:00,2
20:10:00,34
20:11:00,4
20:12:00,1
20:15:00,55
20:16:00,3
20:18:00,1
20:20:00,52
20:21:00,1
20:22:00,2
20:24:00,1
20:25:00,30
20:27:00,1
20:30:00,171
20:33:00,1
20:35:00,21
20:36:00,1
20:37:00,1
20:38:00,1
20:40:00,24
20:43:00,1
20:44:00,1
20:45:00,43
20:46:00,2
20:47:00,1
20:48:00,1
20:49:00,1
20:50:00,23
20:51:00,1
20:53:00,1
20:54:00,2
20:55:00,25
20:56:00,2
20:57:00,1
21:00:00,555
21:01:00,3
21:04:00,1
21:05:00,28
21:08:00,1
21:10:00,38
21:11:00,2
21:12:00,2
21:14:00,2
21:15:00,51
21:16:00,1
21:18:00,6
21:20:00,29
21:21:00,1
21:23:00,1
21:24:00,4
21:25:00,22
21:27:00,1
21:29:00,1
21:30:00,170
21:33:00,3
21:34:00,1
21:35:00,24
21:39:00,2
21:40:00,27
21:45:00,36
21:46:00,2
21:47:00,1
21:50:00,19
21:53:00,2
21:55:00,13
21:56:00,1
21:57:00,4
21:59:00,1
22:00:00,538
22:01:00,1
22:04:00,1
22:05:00,14
22:06:00,1
22:08:00,1
22:10:00,19
22:12:00,3
22:14:00,1
22:15:00,30
22:18:00,1
22:19:00,1
22:20:00,18
22:23:00,4
22:25:00,19
22:27:00,1
22:28:00,1
22:30:00,203
22:32:00,3
22:34:00,1
22:35:00,23
22:37:00,1
22:38:00,1
22:39:00,1
22:40:00,20
22:41:00,1
22:45:00,31
22:47:00,1
22:48:00,1
22:49:00,1
22:50:00,22
22:53:00,1
22:54:00,4
22:55:00,17
22:56:00,1
22:57:00,1
23:00:00,522
23:03:00,4
23:05:00,25
23:06:00,1
23:08:00,1
23:09:00,1
23:10:00,19
23:11:00,1
23:12:00,2
23:14:00,2
23:15:00,25
23:16:00,1
23:20:00,20
23:22:00,2
23:23:00,1
23:24:00,1
23:25:00,17
23:27:00,1
23:28:00,2
23:29:00,2
23:30:00,149
23:33:00,3
23:34:00,1
23:35:00,26
23:36:00,1
23:38:00,1
23:39:00,2
23:40:00,19
23:41:00,2
23:42:00,1
23:43:00,3
23:45:00,32
23:46:00,2
23:47:00,3
23:49:00,1
23:50:00,28
23:55:00,31
23:56:00,1
23:57:00,2
23:58:00,2
23:59:00,30
